sampleID,fruitID,tree,totalphenolics,dglucose,fructose,proteins,F,B,D,E,A,G,H,I,J,C,alkenylphenols
T10F1,1,10,0.650202096,10.80600601,14.38906907,0.450471174,4.705923847,3.299660454,0.435162401,1.647401425,1.224599209,0.70727719,0.216697422,0.181460725,0.116391732,0,12.5345744
T10F10,2,10,0.610732364,17.60954274,15.95367793,0.395272085,3.140558661,2.344824636,0.307713787,1.16069232,1.131814686,0.318078304,0.156897885,0.131674156,0.086460031,0,8.778714466
T10F11,3,10,0.773771168,13.59528487,14.12051081,0.512340729,3.155408173,2.185794609,0.272028461,1.077342476,1.290749699,0.366874421,0.136079026,0.121587612,0.074995544,0,8.680860021
T10F2,4,10,0.682736267,9.308803165,13.39002967,0.461060477,3.013232428,2.444558635,0.398393423,1.135893752,1.426949288,0.51632506,0.177079185,0.121908302,0.083199957,0,9.317540029
T10F3,5,10,0.699314531,10.85759682,17.04655412,0.426506241,3.994501935,2.911734152,0.422062969,1.400048257,1.12671662,0.68081017,0.261818214,0.165765677,0.097639802,0,11.0610978
T10F4,6,10,0.898541201,11.4419802,14.37053465,0.499440781,6.688501489,5.087752326,0.649805928,2.276873335,1.791972429,0.651786871,0.283603131,0,0.19104215,0,17.62133766
T10F5,7,10,0.649424962,20.22345924,19.97677932,0.433877126,3.467126724,2.545104659,0.512397736,1.162574216,0.922821156,0.549735904,0.173531621,0.143411047,0.089781734,0,9.566484798
T10F6,8,10,0.600948376,15.14825871,16.24728358,0.422733162,3.35047411,2.49729179,0.54952033,1.213193504,1.130664083,0.372032492,0.149930284,0.141148449,0.072733873,0,9.476988913
T10F7,9,10,0.79194979,13.03072349,36.7918335,0.468650364,3.577206921,2.922203801,0.511207151,1.241743184,1.661505287,0.453207421,0.215400574,0.149404996,0.084443708,0,10.81632304
T10F8,10,10,0.786767939,10.98412698,6.922619048,0.490826224,3.35494649,2.566901806,0.299143403,1.235414842,1.448209515,0.576547859,0.225480086,0,0.111321831,0,9.817965833
T10F9,11,10,0.704552848,8.476305221,12.89108434,0.353686728,4.263452895,3.200200932,0.376723783,1.425761599,1.510637568,0.460728591,0.176890124,0.149164093,0.100387968,0,11.66394755
T11F1,12,11,0.847605152,18.0222664,16.50858847,0.719548699,0.85347594,0.585956805,0,0.644423753,0,0.555768476,0,0,0,0,2.639624974
T11F10,13,11,0.909015774,12.89355798,21.30053518,0.815383307,2.791674154,1.971011666,0,2.50515926,0,0,0,0,0,0,7.26784508
T11F2,14,11,0.566266888,10.73673674,15.29711712,0.579339628,3.439720961,2.680000249,0.267252565,0,0,1.122411893,0.106355197,0,0,0,7.615740865
T11F3,15,11,0.735663665,12.85044687,14.48264151,0.650736079,2.732573298,1.774061209,0,2.284094504,0,2.42199195,0,0,0,0,9.212720961
T11F4,16,11,0.793226614,13.034714,7.088106509,0.611125793,2.893464675,2.132338994,0,1.435998028,1.82353817,0,0,0,0,0,8.285339868
T11F5,17,11,0.698122406,6.981602374,2.27768546,0.550715358,2.102946182,1.424236447,0,2.081482984,0,0,0,0,0,0,5.608665613
